#Replicon Name	Replicon Accession	Start	Stop	Strand	GeneID	Locus	Locus tag	Protein product	Length	Protein name
I	NC_007618.1	634	2274	+	-	-	BAB_RS10420	WP_002970905.1	546	MULTISPECIES: chromosomal replication initiator protein DnaA
I	NC_007618.1	2578	3696	+	-	-	BAB_RS10425	WP_002974246.1	372	MULTISPECIES: DNA polymerase III subunit beta
I	NC_007618.1	3878	5032	+	-	-	BAB_RS10435	WP_002965250.1	384	MULTISPECIES: DNA replication/repair protein RecF
I	NC_007618.1	5070	5852	+	-	-	BAB_RS15955	WP_002965251.1	260	MULTISPECIES: molybdopterin-synthase adenylyltransferase MoeB
I	NC_007618.1	5869	6825	-	-	-	BAB_RS15960	WP_002965252.1	318	MULTISPECIES: glyoxylate/hydroxypyruvate reductase A
I	NC_007618.1	6822	8447	-	-	-	BAB_RS15965	WP_002971797.1	541	MULTISPECIES: ABC transporter ATP-binding protein
I	NC_007618.1	8471	9610	-	-	-	BAB_RS15970	WP_002967055.1	379	MULTISPECIES: ABC transporter permease
I	NC_007618.1	9610	10707	-	-	-	BAB_RS15975	WP_002965255.1	365	MULTISPECIES: microcin C ABC transporter permease YejB
I	NC_007618.1	10819	12666	-	-	-	BAB_RS15980	WP_002965256.1	615	MULTISPECIES: ABC transporter substrate-binding protein
I	NC_007618.1	12680	14548	-	-	-	BAB_RS15985	WP_002965257.1	622	MULTISPECIES: ABC transporter substrate-binding protein
I	NC_007618.1	14779	15102	-	-	-	BAB_RS31925	WP_002965258.1	107	MULTISPECIES: hypothetical protein
I	NC_007618.1	15148	15348	-	-	-	BAB_RS15990	WP_002967056.1	66	MULTISPECIES: hypothetical protein
I	NC_007618.1	15388	15738	-	-	-	BAB_RS15995	WP_011382097.1	116	MULTISPECIES: hypothetical protein
I	NC_007618.1	16003	17157	-	-	-	BAB_RS16000	WP_002969645.1	384	MULTISPECIES: branched-chain amino acid ABC transporter substrate-binding protein
I	NC_007618.1	17380	17580	+	-	-	BAB_RS31930	WP_004691203.1	66	MULTISPECIES: hypothetical protein
I	NC_007618.1	17577	18371	-	-	-	BAB_RS16005	WP_002967057.1	264	MULTISPECIES: crotonase/enoyl-CoA hydratase family protein
I	NC_007618.1	18368	19231	-	-	-	BAB_RS16010	WP_002967058.1	287	MULTISPECIES: hydroxymethylglutaryl-CoA lyase
I	NC_007618.1	19224	21245	-	-	-	BAB_RS16015	WP_002970910.1	673	MULTISPECIES: acetyl/propionyl/methylcrotonyl-CoA carboxylase subunit alpha
I	NC_007618.1	21257	22864	-	-	-	BAB_RS16020	WP_002965266.1	535	MULTISPECIES: methylcrotonoyl-CoA carboxylase
I	NC_007618.1	24879	25262	-	-	-	BAB_RS16040	WP_002965271.1	127	MULTISPECIES: TIGR02300 family protein
I	NC_007618.1	25647	26999	+	-	-	BAB_RS16045	WP_002965272.1	450	MULTISPECIES: 3-phosphoshikimate 1-carboxyvinyltransferase
I	NC_007618.1	26996	27655	+	-	-	BAB_RS16050	WP_002965273.1	219	MULTISPECIES: cytidylate kinase
I	NC_007618.1	27688	27936	-	-	-	BAB_RS31935	WP_004686737.1	82	MULTISPECIES: hypothetical protein
I	NC_007618.1	27871	29571	+	-	-	BAB_RS16055	WP_002967062.1	566	MULTISPECIES: 30S ribosomal protein S1
I	NC_007618.1	29989	31008	-	-	-	BAB_RS16060	WP_002971785.1	339	MULTISPECIES: putative sulfate exporter family transporter
I	NC_007618.1	31115	32014	+	-	-	BAB_RS16065	WP_002965276.1	299	MULTISPECIES: LysR family transcriptional regulator
I	NC_007618.1	32619	33902	-	-	-	BAB_RS16070	WP_002968069.1	427	MULTISPECIES: lytic murein transglycosylase
