#Replicon Name	Replicon Accession	Start	Stop	Strand	GeneID	Locus	Locus tag	Protein product	Length	Protein name
Mycobacterium_bovis_AF2122/97	NC_002945.4	1	1524	+	1090743	dnaA	BQ2027_MB0001	YP_009357331.1	507	CHROMOSOMAL REPLICATION INITIATOR PROTEIN DNAA
Mycobacterium_bovis_AF2122/97	NC_002945.4	2052	3260	+	1090744	dnaN	BQ2027_MB0002	YP_009357332.1	402	DNA POLYMERASE III (BETA CHAIN) DNAN (DNA NUCLEOTIDYLTRANSFERASE)
Mycobacterium_bovis_AF2122/97	NC_002945.4	3280	4437	+	1090745	recF	BQ2027_MB0003	YP_009357333.1	385	DNA REPLICATION AND REPAIR PROTEIN RECF (SINGLE-STRAND DNA BINDING PROTEIN)
Mycobacterium_bovis_AF2122/97	NC_002945.4	4434	4997	+	1090746	-	BQ2027_MB0004	YP_009357334.1	187	CONSERVED HYPOTHETICAL PROTEIN
Mycobacterium_bovis_AF2122/97	NC_002945.4	5123	7267	+	1090747	gyrB	BQ2027_MB0005	YP_009357335.1	714	DNA GYRASE (SUBUNIT B) GYRB (DNA TOPOISOMERASE (ATP-HYDROLYSING)) (DNA TOPOISOMERASE II) (TYPE II DNA TOPOISOMERASE)
Mycobacterium_bovis_AF2122/97	NC_002945.4	7302	9818	+	1090748	gyrA	BQ2027_MB0006	YP_009357336.1	838	DNA GYRASE (SUBUNIT A) GYRA (DNA TOPOISOMERASE (ATP-HYDROLYSING)) (DNA TOPOISOMERASE II) (TYPE II DNA TOPOISOMERASE)
Mycobacterium_bovis_AF2122/97	NC_002945.4	9914	10828	+	1090749	-	BQ2027_MB0007	YP_009357337.1	304	POSSIBLE CONSERVED MEMBRANE PROTEIN
Mycobacterium_bovis_AF2122/97	NC_002945.4	11874	12311	-	1090753	-	BQ2027_MB0008C	YP_009357338.1	145	POSSIBLE MEMBRANE PROTEIN
Mycobacterium_bovis_AF2122/97	NC_002945.4	12468	13016	+	1090754	ppiA	BQ2027_MB0009	YP_009357339.1	182	PROBABLE IRON-REGULATED PEPTIDYL-PROLYL CIS-TRANS ISOMERASE A PPIA (PPIase A) (ROTAMASE A)
Mycobacterium_bovis_AF2122/97	NC_002945.4	13222	13557	-	1090755	-	BQ2027_MB0010C	YP_009357340.1	111	PROBABLE CONSERVED MEMBRANE PROTEIN
Mycobacterium_bovis_AF2122/97	NC_002945.4	13713	13994	-	1090756	-	BQ2027_MB0011C	YP_009357341.1	93	PROBABLE CONSERVED TRANSMEMBRANE PROTEIN
Mycobacterium_bovis_AF2122/97	NC_002945.4	14088	14876	+	1090757	-	BQ2027_MB0012	YP_009357342.1	262	PROBABLE CONSERVED MEMBRANE PROTEIN
Mycobacterium_bovis_AF2122/97	NC_002945.4	14913	15611	+	1090758	trpG	BQ2027_MB0013	YP_009357343.1	232	POSSIBLE ANTHRANILATE SYNTHASE COMPONENT II TRPG (GLUTAMINE AMIDOTRANSFERASE)
